               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.046821,            0.016339,           0.0018827,             0.92107,                   1,             0.98679,             0.58884,            0.037197,           0.0083701,          0.00083973,            0.007591,            0.007591,            0.007591
                  75,            0.048153,            0.014729,           0.0013554,             0.92107,                   1,             0.98679,             0.58884,            0.037197,           0.0083701,          0.00083973,            0.007558,            0.007558,            0.007558
                  76,            0.046102,            0.014102,           0.0016267,              0.9435,                   1,               0.995,              0.5745,            0.034779,           0.0082077,          0.00081037,            0.007525,            0.007525,            0.007525
                  77,            0.048074,            0.015961,            0.001698,             0.96322,                   1,               0.995,             0.49431,            0.040905,           0.0082928,           0.0008305,            0.007492,            0.007492,            0.007492
                  78,            0.052715,            0.015621,           0.0016703,             0.96322,                   1,               0.995,             0.49431,            0.040905,           0.0082928,           0.0008305,            0.007459,            0.007459,            0.007459
                  79,             0.05219,            0.016569,           0.0016473,             0.95142,                   1,               0.995,             0.44648,            0.042524,           0.0082954,          0.00085988,            0.007426,            0.007426,            0.007426
                  80,            0.049188,            0.014403,           0.0014927,             0.94249,                   1,               0.995,             0.69957,            0.039332,           0.0079911,          0.00093475,            0.007393,            0.007393,            0.007393
                  81,            0.045708,            0.015476,           0.0019944,             0.94249,                   1,               0.995,             0.69957,            0.039332,           0.0079911,          0.00093475,             0.00736,             0.00736,             0.00736
                  82,            0.048783,            0.013035,           0.0016695,             0.92412,                   1,               0.995,             0.63731,             0.04082,           0.0079807,           0.0010116,            0.007327,            0.007327,            0.007327
                  83,            0.047151,            0.013705,           0.0019289,              0.9253,                   1,               0.995,             0.64479,            0.035277,           0.0080525,           0.0010574,            0.007294,            0.007294,            0.007294
                  84,            0.042234,             0.01355,           0.0020301,              0.9253,                   1,               0.995,             0.64479,            0.035277,           0.0080525,           0.0010574,            0.007261,            0.007261,            0.007261
                  85,            0.045674,             0.01236,           0.0017854,              0.8542,                   1,             0.99033,             0.57786,            0.036462,           0.0082481,           0.0011129,            0.007228,            0.007228,            0.007228
                  86,             0.04558,            0.015661,           0.0018906,             0.83484,                   1,               0.995,             0.64875,            0.033719,           0.0081711,           0.0011011,            0.007195,            0.007195,            0.007195
                  87,            0.041318,             0.01369,           0.0020052,              0.9427,                   1,               0.995,             0.59272,            0.032773,           0.0086394,           0.0010252,            0.007162,            0.007162,            0.007162
                  88,            0.042282,             0.01322,           0.0017911,              0.9427,                   1,               0.995,             0.59272,            0.032773,           0.0086394,           0.0010252,            0.007129,            0.007129,            0.007129
                  89,              0.0413,            0.014292,           0.0016665,             0.93221,                   1,               0.995,             0.56239,            0.031178,           0.0085435,          0.00098819,            0.007096,            0.007096,            0.007096
                  90,            0.044289,            0.016256,           0.0017832,              0.9281,                   1,               0.995,             0.50878,            0.035551,           0.0087633,          0.00091535,            0.007063,            0.007063,            0.007063
                  91,            0.041843,            0.013087,           0.0017998,              0.9281,                   1,               0.995,             0.50878,            0.035551,           0.0087633,          0.00091535,             0.00703,             0.00703,             0.00703
                  92,            0.045658,            0.015744,           0.0017227,             0.94668,                   1,               0.995,             0.55355,            0.033666,           0.0087782,          0.00091549,            0.006997,            0.006997,            0.006997
                  93,            0.045447,            0.015962,           0.0019677,              0.9669,             0.95235,               0.995,               0.598,            0.031494,           0.0086196,          0.00090894,            0.006964,            0.006964,            0.006964
                  94,            0.040264,            0.011315,           0.0013381,              0.9669,             0.95235,               0.995,               0.598,            0.031494,           0.0086196,          0.00090894,            0.006931,            0.006931,            0.006931
                  95,            0.042626,            0.012847,           0.0014536,             0.93207,             0.97175,               0.995,             0.55934,            0.032635,           0.0087302,          0.00094051,            0.006898,            0.006898,            0.006898
                  96,            0.040564,            0.012184,           0.0022357,             0.97471,                   1,               0.995,             0.67474,             0.02893,           0.0083832,          0.00096573,            0.006865,            0.006865,            0.006865
                  97,            0.038335,            0.013182,           0.0017936,             0.97471,                   1,               0.995,             0.67474,             0.02893,           0.0083832,          0.00096573,            0.006832,            0.006832,            0.006832
                  98,            0.035656,            0.012477,           0.0015737,               0.935,             0.97263,               0.995,             0.67602,            0.031466,           0.0083479,          0.00096937,            0.006799,            0.006799,            0.006799
                  99,            0.040232,             0.01595,           0.0013824,              0.9079,             0.96154,              0.9925,              0.6135,            0.031012,           0.0084997,          0.00095211,            0.006766,            0.006766,            0.006766
                 100,            0.036784,            0.015118,           0.0014343,              0.9079,             0.96154,              0.9925,              0.6135,            0.031012,           0.0084997,          0.00095211,            0.006733,            0.006733,            0.006733
                 101,            0.042371,            0.014203,           0.0014124,             0.88087,             0.96154,             0.97335,             0.52956,             0.03459,            0.008594,          0.00095578,              0.0067,              0.0067,              0.0067
                 102,            0.037111,            0.013728,           0.0017576,             0.97169,             0.99852,               0.995,             0.69997,            0.026589,           0.0083137,          0.00095865,            0.006667,            0.006667,            0.006667
                 103,            0.034243,            0.013029,           0.0014459,             0.95727,                   1,               0.995,             0.60067,            0.031878,           0.0081414,          0.00093073,            0.006634,            0.006634,            0.006634
                 104,            0.038125,            0.012496,           0.0012751,             0.95727,                   1,               0.995,             0.60067,            0.031878,           0.0081414,          0.00093073,            0.006601,            0.006601,            0.006601
                 105,            0.036289,             0.01118,            0.001285,             0.99169,                   1,               0.995,             0.67575,            0.028097,           0.0078406,          0.00096062,            0.006568,            0.006568,            0.006568
                 106,            0.040271,            0.015356,           0.0015156,             0.78631,             0.96154,             0.95236,             0.68788,            0.030007,           0.0078035,           0.0010271,            0.006535,            0.006535,            0.006535
                 107,            0.041997,            0.013504,           0.0014256,             0.78631,             0.96154,             0.95236,             0.68788,            0.030007,           0.0078035,           0.0010271,            0.006502,            0.006502,            0.006502
                 108,            0.039063,            0.011286,           0.0016408,             0.77264,             0.96154,             0.95595,             0.67193,            0.030469,           0.0076356,           0.0010845,            0.006469,            0.006469,            0.006469
                 109,            0.040335,            0.015237,           0.0016208,             0.80927,             0.99692,               0.914,             0.51161,            0.029151,             0.00783,            0.001159,            0.006436,            0.006436,            0.006436
                 110,            0.037487,            0.012363,           0.0022164,             0.80927,             0.99692,               0.914,             0.51161,            0.029151,             0.00783,            0.001159,            0.006403,            0.006403,            0.006403
                 111,            0.036558,            0.013125,           0.0014848,             0.79473,              0.9964,             0.89771,             0.51484,            0.028847,           0.0080612,           0.0012265,             0.00637,             0.00637,             0.00637
                 112,            0.042238,            0.016061,           0.0023021,             0.99248,                   1,               0.995,             0.76698,            0.024793,           0.0076982,           0.0012219,            0.006337,            0.006337,            0.006337
                 113,            0.030881,            0.011788,           0.0015757,             0.99248,                   1,               0.995,             0.76698,            0.024793,           0.0076982,           0.0012219,            0.006304,            0.006304,            0.006304
                 114,            0.037671,            0.015042,           0.0019985,             0.95537,                   1,              0.9925,             0.73889,            0.025601,           0.0078549,           0.0012688,            0.006271,            0.006271,            0.006271
                 115,            0.034426,             0.01368,           0.0016415,             0.99102,                   1,               0.995,             0.71614,            0.025854,           0.0076863,           0.0012431,            0.006238,            0.006238,            0.006238
                 116,            0.032797,             0.01091,           0.0023991,             0.99102,                   1,               0.995,             0.71614,            0.025854,           0.0076863,           0.0012431,            0.006205,            0.006205,            0.006205
                 117,            0.031743,            0.011319,            0.001571,             0.83995,                   1,             0.98418,             0.70502,             0.02853,           0.0078028,           0.0012228,            0.006172,            0.006172,            0.006172
                 118,            0.033861,            0.011917,           0.0017664,             0.93718,                   1,               0.995,             0.73565,            0.026054,           0.0077234,           0.0011343,            0.006139,            0.006139,            0.006139
                 119,            0.031741,             0.01304,             0.00189,             0.92283,                   1,               0.995,             0.59456,             0.02934,           0.0075745,           0.0010753,            0.006106,            0.006106,            0.006106
                 120,            0.037014,            0.012499,           0.0014162,             0.92283,                   1,               0.995,             0.59456,             0.02934,           0.0075745,           0.0010753,            0.006073,            0.006073,            0.006073
                 121,            0.035941,             0.01234,           0.0016209,             0.91114,             0.98294,             0.99033,             0.65039,            0.027313,           0.0076472,           0.0010725,             0.00604,             0.00604,             0.00604
                 122,            0.038127,            0.014125,           0.0016956,             0.98028,                   1,               0.995,             0.58237,            0.029524,           0.0075906,           0.0010239,            0.006007,            0.006007,            0.006007
                 123,            0.034141,            0.012297,           0.0017005,             0.98028,                   1,               0.995,             0.58237,            0.029524,           0.0075906,           0.0010239,            0.005974,            0.005974,            0.005974
